channel_name,subscriber_count,video_id,video_title,video_description,published_date,view_count,like_count,comment_text,comment_likes,comment_date
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,데릭형 형 구독하고 옷잘입게 된지도 벌써 일년이도 더 지났네.. 앞으로도 좋은옷 콜라보도 많이해주고 소개도 많이 시켜줘 반말하는 이유는 뭔가 이제 너무 봐서 형같아서.. 사랑해😭😭,0,2024-09-29T15:59:55Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,이번엔 애쉬아워와 함께 이벤트 열어주셔서 넘 감사합니당~😍 모스차콜 색상 가디건!!! 색감부터 넘 이뿌고 핏이며 디자인도 맘에 드네요~ 목위 살짝 덮는 모크넥니트!!<br>이것 또한 이뿌네요~ 슬릭한 느낌? 어떤 느낌인지 알것 같다능~ 무심한 시크룩가튼~ 멋지네효~❤ 이뿐 니트들이 많은 브랜드 애쉬아워~! 잘 보고 갑니당~<br>또 만나효!😘,0,2024-09-29T13:46:07Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,라운드 넥 버튼 가디건 네이비<br>요즘에 영상자주올려주셔서 좋네요 유튜브 항상 잘보고있습니다!,0,2024-09-29T14:07:16Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,라운드 넥 버튼 가디건 네이비 L<br>입고 여자친구랑 데이트 상상하는 설레발중이에여 🫡,0,2024-09-29T23:05:30Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,제가 니트에 미친 사람인데 데릭님 추천영상에는 항상 꽂히는 제품들이 하나씩 있네요.. 잘 몰랐던 브랜드인데 소개감사해요! 금장 단추 디테일..😊,0,2024-09-29T15:06:00Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,버튼이 매력적인 제품이네요 이번 fw시즌에 활용하기 좋은 제품들이라 입어보고 싶다는 생각이 드네요,0,2024-09-29T15:12:44Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,아버지가 가디건을 빨아버려서 사자마자 버렸어요 ㅠ 가디건 너무 필요해요 ㅠ L로 부탁드려요,0,2024-09-30T03:24:10Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,역시 니트는 데릭! 덕분에 니트 가디건류만 몇개를 산지... 그나저나 토니웩 다잉팬츠는 볼 때마다 구하고 싶네요... 예전에 추천해주신 파브레가 바지로 대신 잘 입구 있지만<br>몬가 입었을 때 살짝 플레어한게 토니웩이 더 섹시한 거 가타요,0,2024-09-29T14:49:02Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,컴퓨터켜서 유튜브 킬때마다 데릭님 영상 업로드 떠있으니까 좋은데여?ㅋㅋㅋㅋㅋ 열일하시는 데릭님 구독자 4만 가즈아~,0,2024-09-29T13:54:13Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,한 일 년 가까이 데릭님 잘 보고 매번 영상 보며 마음에 드는 옷은 잘 사고있습니다 늘 될 일 없다는 생각에 구독자 이벤트는 참여를 안 했었는데 지금까지 쭉 해왔으면 한번은 됐겠다는 생각이 들더라고요 이제부터 하려고요 모스그레이 m사이즈 가디건 신청합니다,0,2024-09-29T13:45:52Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,애쉬아워 이번에 영상보고 처음 알게된 브랜즈인데 정말 이쁘네요,0,2024-09-30T01:56:21Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,케이블 스트라이프 니트 네이비 M 원합니다 .. / 저도 옷 못 입는다는 소리 안듣는데 친구들이 옷 추천해달라고 하면 데릭 추천합니다! 진짜 매번 잘 챙겨보고 있습니다. 덕분에 셔츠류 정말 많이 입게 되고 있습니다 늘 좋은 영상 감사해요,0,2024-09-29T13:04:41Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,"진짜 요즘 열일 미쳤다.. 개인 사비로 구독자 이벤트까지 안뜰이유가없다,, 화이팅❤️❤️",0,2024-09-29T16:44:03Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,항상 영상 잘보구있습니다 니트와 셔츠가 잘 어울리는남자 진짜 갬성이 무쳐따,0,2024-09-29T18:06:31Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,금장 버튼 포인트가 너무 예쁘네요ㅎㅎ<br>데릭님 덕분에 가을 브랜드 하나 더 알고 갑니다 !,0,2024-09-30T01:46:48Z
